,Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit,Profit_Margin,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Customer_Segment,Device_Type,age
0,ORD101152,2024-03-21,CUST13416,Tanvi Rao,Female,23.0,18-25,Kochi,Kerala,South,9.9312,76.2673,P1042,Tata Tea Premium 1Kg,Grocery,Beverages,2,645.4,7.7,1191.71,1069.15,122.56,10.28,Upi,Delivered,5,4.2,Premium,Mobile App,23
1,ORD107594,2025-01-31,CUST12988,Swapnil Chatterjee,Female,44.0,36-45,Gurugram,Haryana,North,28.4595,77.0266,P1067,Blue Star 1T Window Ac,Appliances,Air Conditioners,2,36248.75,15.6,61199.04,60540.81,658.23,1.08,Credit Card,Delivered,3,4.5,Corporate,Mobile App,44
2,ORD102186,2024-05-21,CUST12825,Swapnil Bhat,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,3,1373.75,4.0,3955.2,3640.56,314.64,7.96,Wallet,Delivered,3,5.0,Premium,Tablet,32
3,ORD113618,2025-11-08,CUST12560,Imran Sharma,Female,42.0,36-45,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1015,W Printed Palazzo Set,Fashion,Women'S Clothing,2,2260.7,25.4,3373.77,2501.81,-495.79,-14.7,Cash On Delivery,Returned,5,2.9,Regular,Mobile App,42
4,ORD109118,2025-05-01,CUST11485,Deepak Mishra,Female,18.0,18-25,Guwahati,Assam,Northeast,26.1445,91.7362,P1039,Aashirvaad Atta 10Kg,Grocery,Staples,2,530.56,3.3,1025.79,949.39,-17.83,-1.74,Cash On Delivery,Cancelled,8,3.2,Premium,Desktop,18
5,ORD104054,2024-09-05,CUST12272,Harsh Bose,Male,22.0,18-25,Bhubaneswar,Odisha,East,20.2961,85.8245,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,1,9970.25,14.8,8497.2,6991.99,1505.21,17.71,Upi,Shipped,8,3.8,Premium,Desktop,22
6,ORD101842,2024-05-02,CUST11168,Shruti Chatterjee,Female,41.0,36-45,Ludhiana,Punjab,North,30.901,75.8573,P1013,Us Polo Assn Polo T-Shirt,Fashion,Men'S Clothing,1,1435.25,24.9,1077.56,823.51,254.05,23.58,Cash On Delivery,Delivered,3,4.7,Regular,Mobile App,41
7,ORD109287,2025-05-10,CUST12020,Yash Joshi,Male,21.0,18-25,Chennai,Tamil Nadu,South,13.0827,80.2707,P1066,Voltas 1.5T Split Ac,Appliances,Air Conditioners,1,49998.75,11.9,44038.4,39826.73,4211.67,9.56,Emi,Delivered,3,4.5,Premium,Mobile App,21
8,ORD106139,2024-11-19,CUST10513,Farhan Patil,Female,39.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1031,Minimalist Vitamin C Serum,Beauty,Skincare,3,756.51,17.9,1862.35,1147.09,715.26,38.41,Upi,Delivered,4,5.0,Regular,Mobile App,39
9,ORD101749,2024-04-26,CUST11617,Rajesh Sharma,Male,26.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1026,Prestige Pressure Cooker,Home & Furniture,Kitchenware,3,3838.79,5.1,10926.17,8509.67,2416.5,22.12,Upi,Delivered,3,5.0,Corporate,Tablet,26
10,ORD109096,2025-04-30,CUST12117,Tanvi Gupta,Female,18.0,18-25,Delhi,Delhi,North,28.7041,77.1025,P1039,Aashirvaad Atta 10Kg,Grocery,Staples,4,576.9,11.3,2045.89,2010.77,35.12,1.72,Upi,Delivered,2,4.4,Budget,Mobile Web,18
11,ORD113228,2025-10-26,CUST11619,Diya Bhat,Male,53.0,46-60,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1008,Canon Eos 1500D,Electronics,Cameras,3,46796.63,22.5,108783.15,110614.11,-811.67,-0.75,Cash On Delivery,Cancelled,3,4.2,Premium,Mobile Web,53
12,ORD111192,2025-08-14,CUST12129,Kabir Deshmukh,Female,32.0,26-35,Ahmedabad,Gujarat,West,23.0225,72.5714,P1012,Allen Solly Formal Shirt,Fashion,Men'S Clothing,1,2548.37,20.8,2019.24,1398.85,620.39,30.72,Credit Card,Delivered,3,4.4,Premium,Mobile App,32
13,ORD100379,2024-01-28,CUST11379,Imran Mishra,Female,47.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1003,Oneplus Nord Ce4,Electronics,Smartphones,1,30272.41,23.4,23177.01,26226.98,-3049.97,-13.16,Upi,Delivered,3,4.2,Regular,Mobile Web,47
14,ORD104700,2024-10-03,CUST11374,Siddharth Menon,Female,27.0,26-35,Surat,Gujarat,West,21.1702,72.8311,P1035,Lakme Absolute Lipstick,Beauty,Makeup,1,592.29,24.1,449.64,283.02,166.62,37.06,Cash On Delivery,Delivered,6,3.6,Corporate,Mobile Web,27
15,ORD113521,2025-11-04,CUST13156,Sneha Singh,Male,39.0,36-45,Delhi,Delhi,North,28.7041,77.1025,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,20801.5,26.7,15244.37,16834.87,-1590.5,-10.43,Upi,Delivered,4,4.9,Regular,Mobile Web,39
16,ORD105999,2024-11-14,CUST13100,Amit Reddy,Female,25.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1013,Us Polo Assn Polo T-Shirt,Fashion,Men'S Clothing,2,1414.38,29.9,1984.35,1549.8,434.55,21.9,Upi,Shipped,3,4.3,Regular,Mobile App,25
17,ORD112274,2025-09-28,CUST13257,Arjun Iyer,Male,45.0,36-45,Bhubaneswar,Odisha,East,20.2961,85.8245,P1016,Fabindia Cotton Saree,Fashion,Women'S Clothing,2,2571.12,30.4,3579.23,3063.79,515.44,14.4,Upi,Delivered,6,3.7,Premium,Mobile App,45
18,ORD113347,2025-10-30,CUST13188,Rahul Khan,Female,20.0,18-25,Kolkata,West Bengal,East,22.5726,88.3639,P1005,Lenovo Ideapad Slim 3,Electronics,Laptops,1,47043.71,20.2,37538.17,40757.59,-3219.42,-8.58,Upi,Delivered,5,4.4,Premium,Mobile App,20
