Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit,Profit_Margin,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Customer_Segment,Device_Type
ORD101152,2024-03-21,CUST13416,Tanvi Rao,Female,23.0,18-25,Kochi,Kerala,South,9.9312,76.2673,P1042,Tata Tea Premium 1kg,Grocery,Beverages,2,645.4,7.7,1191.71,1069.15,122.56,10.28,UPI,Delivered,5.0,4.2,Premium,Mobile App
ORD107594,2025-01-31,CUST12988,Swapnil Chatterjee,Female,44.0,36-45,Gurugram,Haryana,North,28.4595,77.0266,P1067,Blue Star 1T Window AC,Appliances,Air Conditioners,2,36248.75,15.6,61199.04,60540.81,658.23,1.08,Credit Card,Delivered,3.0,4.5,Corporate,Mobile App
ORD109386,2025-05-15,CUST11826,Karan Deshmukh,Female,38.0,36-45,,Gujarat,West,21.1702,72.8311,P1058,Data Science Handbook,Books,Academic,3,1733.5,7.9,4791.23,3946.73,844.5,17.63,UPI,Delivered,2.0,4.8,Regular,Mobile Web
ORD102186,2024-05-21,CUST12825,Swapnil Bhat,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,3,1373.75,4.0,3955.2,3640.56,314.64,7.96,Wallet,Delivered,3.0,5.0,Premium,Tablet
ORD113618,2025-11-08,CUST12560,Imran Sharma,Female,42.0,36-45,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1015,W Printed Palazzo Set,Fashion,Women's Clothing,2,2260.7,25.4,3373.77,2501.81,-495.79,-14.7,Cash on Delivery,Returned,5.0,2.9,Regular,Mobile App
ORD109118,2025-05-01,CUST11485,Deepak Mishra,Female,18.0,18-25,Guwahati,Assam,Northeast,26.1445,91.7362,P1039,Aashirvaad Atta 10kg,Grocery,Staples,2,530.56,3.3,1025.79,949.39,-17.83,-1.74,Cash on Delivery,Cancelled,8.0,3.2,Premium,Desktop
ORD104054,2024-09-05,CUST12272,Harsh Bose,Male,22.0,18-25,Bhubaneswar,Odisha,East,20.2961,85.8245,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,1,9970.25,14.8,8497.2,6991.99,1505.21,17.71,UPI,Shipped,8.0,3.8,Premium,Desktop
ORD101842,2024-05-02,CUST11168,Shruti Chatterjee,F,41.0,36-45,Ludhiana,Punjab,North,30.901,75.8573,P1013,US Polo Assn Polo T-Shirt,Fashion,Men's Clothing,1,1435.25,24.9,1077.56,823.51,254.05,23.58,Cash on Delivery,Delivered,3.0,4.7,Regular,Mobile App
ORD109287,2025-05-10,CUST12020,Yash Joshi,Male,21.0,18-25,Chennai,Tamil Nadu,South,13.0827,80.2707,P1066,Voltas 1.5T Split AC,Appliances,Air Conditioners,1,49998.75,11.9,44038.4,39826.73,4211.67,9.56,EMI,Delivered,3.0,4.5,Premium,Mobile App
ORD106139,2024-11-19,CUST10513,Farhan Patil,Female,39.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1031,Minimalist Vitamin C Serum,Beauty,Skincare,3,756.51,17.9,1862.35,1147.09,715.26,38.41,UPI,Delivered,4.0,5.0,Regular,Mobile App
ORD101749,2024-04-26,CUST11617,Rajesh Sharma,Male,26.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1026,Prestige Pressure Cooker,Home & Furniture,Kitchenware,3,3838.79,5.1,10926.17,8509.67,2416.5,22.12,UPI,Delivered,3.0,5.0,Corporate,Tablet
ORD109096,2025-04-30,CUST12117,Tanvi Gupta,Female,18.0,18-25,Delhi,Delhi,North,28.7041,77.1025,P1039,Aashirvaad Atta 10kg,Grocery,Staples,4,576.9,11.3,2045.89,2010.77,35.12,1.72,UPI,Delivered,2.0,4.4,Budget,Mobile Web
